98.0,0.06665433697059367,10,Queens,Fresh Meadows,Boro Zone
100.0,0.08670002513060905,3092,Manhattan,Garment District,Yellow Zone
101.0,0.02380952380952381,14,Queens,Glen Oaks,Boro Zone
102.0,0.06824862421734157,44,Queens,Glendale,Boro Zone
106.0,0.09830405219043949,112,Brooklyn,Gowanus,Boro Zone
107.0,0.10201828254485708,3440,Manhattan,Gramercy,Yellow Zone
112.0,0.11252774513487568,648,Brooklyn,Greenpoint,Boro Zone
113.0,0.10451402521846595,1876,Manhattan,Greenwich Village North,Yellow Zone
114.0,0.0977146022325487,2552,Manhattan,Greenwich Village South,Yellow Zone
116.0,0.08543534300127913,718,Manhattan,Hamilton Heights,Boro Zone
119.0,0.01905939245786862,30,Bronx,Highbridge,Boro Zone
121.0,0.026014857683425617,26,Queens,Hillcrest/Pomonok,Boro Zone
122.0,0.09162988385143384,16,Queens,Hollis,Boro Zone
123.0,0.05791416128787892,28,Brooklyn,Homecrest,Boro Zone
124.0,0.05858044428477337,30,Queens,Howard Beach,Boro Zone
125.0,0.10416933429180471,718,Manhattan,Hudson Sq,Yellow Zone
126.0,0.03499662847997423,32,Bronx,Hunts Point,Boro Zone
127.0,0.09735388382542218,166,Manhattan,Inwood,Boro Zone
129.0,0.04828860734667939,638,Queens,Jackson Heights,Boro Zone
130.0,0.02027378849462355,38,Queens,Jamaica,Boro Zone
131.0,0.06138795682520718,38,Queens,Jamaica Estates,Boro Zone
132.0,0.0813821428681762,3374,Queens,JFK Airport,Airports
133.0,0.05978210180908,96,Brooklyn,Kensington,Boro Zone
134.0,0.05714562406073018,52,Queens,Kew Gardens,Boro Zone
135.0,0.05582962135053439,40,Queens,Kew Gardens Hills,Boro Zone
136.0,0.049010179150867486,34,Bronx,Kingsbridge Heights,Boro Zone
137.0,0.09336353474707862,2186,Manhattan,Kips Bay,Yellow Zone
138.0,0.12389399309874537,4946,Queens,LaGuardia Airport,Airports
139.0,0.007376671277086215,18,Queens,Laurelton,Boro Zone
140.0,0.10198849858779237,2474,Manhattan,Lenox Hill East,Yellow Zone
141.0,0.10425771178982988,2938,Manhattan,Lenox Hill West,Yellow Zone
142.0,0.10867683773723713,3106,Manhattan,Lincoln Square East,Yellow Zone
143.0,0.10859899938546348,1362,Manhattan,Lincoln Square West,Yellow Zone
144.0,0.0965051140547703,1468,Manhattan,Little Italy/NoLiTa,Yellow Zone
145.0,0.09090204898497141,552,Queens,Long Island City/Hunters Point,Boro Zone
146.0,0.06703024161928696,392,Queens,Long Island City/Queens Plaza,Boro Zone
147.0,0.060455788975160754,28,Bronx,Longwood,Boro Zone
148.0,0.09451490778523966,2528,Manhattan,Lower East Side,Yellow Zone
149.0,0.07062006830185771,32,Brooklyn,Madison,Boro Zone
151.0,0.09054143762765579,1006,Manhattan,Manhattan Valley,Yellow Zone
152.0,0.06357744676395576,316,Manhattan,Manhattanville,Boro Zone
153.0,0.05276298268974701,16,Manhattan,Marble Hill,Boro Zone
155.0,0.07249757045675413,20,Brooklyn,Marine Park/Mill Basin,Boro Zone
157.0,0.06996064974150377,96,Queens,Maspeth,Boro Zone
158.0,0.10963399099827202,1780,Manhattan,Meatpacking/West Village West,Yellow Zone
159.0,0.043792553887696095,78,Bronx,Melrose South,Boro Zone
160.0,0.03070765319858995,40,Queens,Middle Village,Boro Zone
161.0,0.11098407398197875,6174,Manhattan,Midtown Center,Yellow Zone
162.0,0.10507575558944195,4820,Manhattan,Midtown East,Yellow Zone
163.0,0.1021018208099642,3232,Manhattan,Midtown North,Yellow Zone
164.0,0.09889621880353049,3284,Manhattan,Midtown South,Yellow Zone
165.0,0.06670317899580944,48,Brooklyn,Midwood,Boro Zone
166.0,0.0806193928323248,744,Manhattan,Morningside Heights,Boro Zone
167.0,0.006524026271039334,44,Bronx,Morrisania/Melrose,Boro Zone
168.0,0.04467077849578817,126,Bronx,Mott Haven/Port Morris,Boro Zone
169.0,0.09910329718436045,32,Bronx,Mount Hope,Boro Zone
170.0,0.10817310438557927,3894,Manhattan,Murray Hill,Yellow Zone
171.0,0.07142941926065655,40,Queens,Murray Hill-Queens,Boro Zone
173.0,0.023975933854608795,110,Queens,North Corona,Boro Zone
174.0,0.06865369425847932,18,Bronx,Norwood,Boro Zone
175.0,0.0654827466943358,22,Queens,Oakland Gardens,Boro Zone
177.0,0.060781345786953864,66,Brooklyn,Ocean Hill,Boro Zone
178.0,0.06667530522920986,16,Brooklyn,Ocean Parkway South,Boro Zone
179.0,0.08145364325859034,416,Queens,Old Astoria,Boro Zone
180.0,0.06187976066706059,30,Queens,Ozone Park,Boro Zone
181.0,0.10916406956357023,756,Brooklyn,Park Slope,Boro Zone
182.0,0.06622634433948638,24,Bronx,Parkchester,Boro Zone
183.0,0.1435897435897436,12,Bronx,Pelham Bay,Boro Zone
185.0,0.07347465207713591,16,Bronx,Pelham Parkway,Boro Zone
186.0,0.09505866373072995,5498,Manhattan,Penn Station/Madison Sq West,Yellow Zone
188.0,0.10073921335038866,242,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
189.0,0.13335540791144673,322,Brooklyn,Prospect Heights,Boro Zone
190.0,0.09440801457759229,52,Brooklyn,Prospect Park,Boro Zone
191.0,0.0181545636242505,12,Queens,Queens Village,Boro Zone
192.0,0.051413518225566744,26,Queens,Queensboro Hill,Boro Zone
194.0,0.08200188093177313,12,Manhattan,Randalls Island,Yellow Zone
195.0,0.06697759676897137,74,Brooklyn,Red Hook,Boro Zone
196.0,0.07733372108607942,112,Queens,Rego Park,Boro Zone
197.0,0.05706553420147734,48,Queens,Richmond Hill,Boro Zone
198.0,0.07426105669449642,236,Queens,Ridgewood,Boro Zone
200.0,0.13500481656586855,30,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
202.0,0.09627885432684079,76,Manhattan,Roosevelt Island,Boro Zone
203.0,0.09186897196753199,38,Queens,Rosedale,Boro Zone
205.0,0.0,16,Queens,Saint Albans,Boro Zone
208.0,0.07496437130497302,24,Bronx,Schuylerville/Edgewater Park,Boro Zone
209.0,0.10522032887126487,344,Manhattan,Seaport,Yellow Zone
210.0,0.019604279221222497,38,Brooklyn,Sheepshead Bay,Boro Zone
211.0,0.10463637113600682,1098,Manhattan,SoHo,Yellow Zone
212.0,0.03153439153439153,30,Bronx,Soundview/Bruckner,Boro Zone
213.0,0.05574871059820893,30,Bronx,Soundview/Castle Hill,Boro Zone
215.0,0.0,46,Queens,South Jamaica,Boro Zone
216.0,0.01073803873311652,124,Queens,South Ozone Park,Boro Zone
217.0,0.08282702678084373,60,Brooklyn,South Williamsburg,Boro Zone
218.0,0.032492908138064956,52,Queens,Springfield Gardens North,Boro Zone
219.0,0.10807712350182387,38,Queens,Springfield Gardens South,Boro Zone
220.0,0.1015415387349699,46,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
223.0,0.08954884907296455,550,Queens,Steinway,Boro Zone
224.0,0.1044540989018387,570,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
225.0,0.08207868087983368,344,Brooklyn,Stuyvesant Heights,Boro Zone
226.0,0.06712872659698498,886,Queens,Sunnyside,Boro Zone
227.0,0.08439452420296924,94,Brooklyn,Sunset Park East,Boro Zone
228.0,0.10856316960863353,200,Brooklyn,Sunset Park West,Boro Zone
